"Year","Age","Sex","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus [HIV] disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2005,"75 to 84 years","Females","Rank of leading causes of death",37,37,28,37,37,35,12,37,37,37,37,25,35,37,1,14,18,5,23,33,10,6,2,12,3,16,11,7,29,4,33,15,19,30,21,16,20,9,26,0,32,37,37,27,8,22,31,37,37,24,0
2005,"75 to 79 years","Both sexes","Number of deaths",0,0,9,0,0,0,235,0,0,0,0,33,3,0,10878,230,47,1275,26,4,352,673,7076,177,1917,165,331,600,7,1977,22,202,66,9,46,238,61,571,16,10,3,0,0,20,647,113,10,0,0,29,3604
2005,"75 to 79 years","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0.1,0,0,34.3,0.7,0.1,4,0.1,0,1.1,2.1,22.3,0.6,6.1,0.5,1,1.9,0,6.2,0.1,0.6,0.2,0,0.1,0.8,0.2,1.8,0.1,0,0,0,0,0.1,2,0.4,0,0,0,0.1,11.4
2005,"75 to 79 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,1,0,0,0,27.2,0,0,0,0,3.8,0.3,0,1257.8,26.6,5.4,147.4,3,0.5,40.7,77.8,818.2,20.5,221.7,19.1,38.3,69.4,0.8,228.6,2.5,23.4,7.6,1,5.3,27.5,7.1,66,1.8,1.2,0.3,0,0,2.3,74.8,13.1,1.2,0,0,3.4,416.7
2005,"75 to 79 years","Both sexes","Rank of leading causes of death",37,37,31,37,37,37,13,37,37,37,37,23,35,37,1,14,21,5,25,34,10,6,2,16,4,17,11,8,33,3,26,15,19,31,22,12,20,9,28,29,35,37,37,27,7,18,29,37,37,24,0
2005,"75 to 79 years","Males","Number of deaths",0,0,5,0,0,0,119,0,0,0,0,13,2,0,6043,129,24,694,12,1,239,274,4095,87,950,98,205,306,3,1143,19,110,34,4,24,143,37,331,2,10,0,0,0,11,365,86,5,0,0,14,1754
2005,"75 to 79 years","Males","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0.1,0,0,34.7,0.7,0.1,4,0.1,0,1.4,1.6,23.5,0.5,5.5,0.6,1.2,1.8,0,6.6,0.1,0.6,0.2,0,0.1,0.8,0.2,1.9,0,0.1,0,0,0,0.1,2.1,0.5,0,0,0,0.1,10.1
2005,"75 to 79 years","Males","Age-specific mortality rate per 100,000 population",0,0,1.3,0,0,0,31.5,0,0,0,0,3.4,0.5,0,1598.5,34.1,6.3,183.6,3.2,0.3,63.2,72.5,1083.2,23,251.3,25.9,54.2,80.9,0.8,302.4,5,29.1,9,1.1,6.3,37.8,9.8,87.6,0.5,2.6,0,0,0,2.9,96.6,22.7,1.3,0,0,3.7,464
2005,"75 to 79 years","Males","Rank of leading causes of death",36,36,29,36,36,36,14,36,36,36,36,25,33,36,1,13,21,5,26,35,10,9,2,17,4,16,11,8,32,3,23,15,20,31,21,12,19,7,33,28,0,0,36,27,6,18,29,36,36,24,0
2005,"75 to 79 years","Females","Number of deaths",0,0,4,0,0,0,116,0,0,0,0,20,1,0,4835,101,23,581,14,3,113,399,2981,90,967,67,126,294,4,834,3,92,32,5,22,95,24,240,14,0,3,0,0,9,282,27,5,0,0,15,1850
2005,"75 to 79 years","Females","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0.1,0,0,33.8,0.7,0.2,4.1,0.1,0,0.8,2.8,20.9,0.6,6.8,0.5,0.9,2.1,0,5.8,0,0.6,0.2,0,0.2,0.7,0.2,1.7,0.1,0,0,0,0,0.1,2,0.2,0,0,0,0.1,12.9
2005,"75 to 79 years","Females","Age-specific mortality rate per 100,000 population",0,0,0.8,0,0,0,23.8,0,0,0,0,4.1,0.2,0,993.2,20.7,4.7,119.3,2.9,0.6,23.2,82,612.3,18.5,198.6,13.8,25.9,60.4,0.8,171.3,0.6,18.9,6.6,1,4.5,19.5,4.9,49.3,2.9,0,0.6,0,0,1.8,57.9,5.5,1,0,0,3.1,380
2005,"75 to 79 years","Females","Rank of leading causes of death",36,36,30,36,36,36,11,36,36,36,36,23,35,36,1,13,21,5,25,32,12,6,2,16,3,17,10,7,30,4,32,15,18,28,22,14,20,9,25,0,32,36,36,27,8,19,28,36,36,24,0
2005,"80 to 84 years","Both sexes","Number of deaths",0,0,18,0,0,1,325,0,0,0,0,25,2,0,10095,285,73,1525,39,2,536,1319,9403,291,2933,230,413,1088,10,2337,17,276,61,5,48,194,68,741,20,19,1,0,0,16,954,66,1,0,0,50,4956
2005,"80 to 84 years","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0.1,0,0,26.3,0.7,0.2,4,0.1,0,1.4,3.4,24.5,0.8,7.6,0.6,1.1,2.8,0,6.1,0,0.7,0.2,0,0.1,0.5,0.2,1.9,0.1,0,0,0,0,0,2.5,0.2,0,0,0,0.1,12.9
2005,"80 to 84 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,2.9,0,0,0.2,51.9,0,0,0,0,4,0.3,0,1613,45.5,11.7,243.7,6.2,0.3,85.6,210.8,1502.5,46.5,468.7,36.8,66,173.8,1.6,373.4,2.7,44.1,9.7,0.8,7.7,31,10.9,118.4,3.2,3,0.2,0,0,2.6,152.4,10.5,0.2,0,0,8,791.9
2005,"80 to 84 years","Both sexes","Rank of leading causes of death",38,38,28,38,38,35,12,38,38,38,38,25,33,38,1,14,18,5,24,33,10,6,2,13,3,16,11,7,31,4,29,15,21,32,23,17,19,9,26,27,35,38,38,30,8,20,35,38,38,22,0
2005,"80 to 84 years","Males","Number of deaths",0,0,9,0,0,0,160,0,0,0,0,14,2,0,5272,131,28,716,9,2,311,458,4668,100,1196,111,219,533,4,1277,17,158,30,3,20,103,35,392,9,19,0,0,0,4,480,47,0,0,0,28,2142
2005,"80 to 84 years","Males","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0.1,0,0,28.2,0.7,0.1,3.8,0,0,1.7,2.4,25,0.5,6.4,0.6,1.2,2.8,0,6.8,0.1,0.8,0.2,0,0.1,0.6,0.2,2.1,0,0.1,0,0,0,0,2.6,0.3,0,0,0,0.1,11.5
2005,"80 to 84 years","Males","Age-specific mortality rate per 100,000 population",0,0,3.7,0,0,0,66.1,0,0,0,0,5.8,0.8,0,2179.1,54.1,11.6,295.9,3.7,0.8,128.5,189.3,1929.4,41.3,494.3,45.9,90.5,220.3,1.7,527.8,7,65.3,12.4,1.2,8.3,42.6,14.5,162,3.7,7.9,0,0,0,1.7,198.4,19.4,0,0,0,11.6,885.4
2005,"80 to 84 years","Males","Rank of leading causes of death",35,35,27,35,35,35,12,35,35,35,35,26,33,35,1,14,21,5,27,33,10,8,2,17,4,15,11,6,30,3,25,13,20,32,23,16,19,9,27,24,0,0,35,30,7,18,35,35,35,21,0
2005,"80 to 84 years","Females","Number of deaths",0,0,9,0,0,1,165,0,0,0,0,11,0,0,4823,154,45,809,30,0,225,861,4735,191,1737,119,194,555,6,1060,0,118,31,2,28,91,33,349,11,0,1,0,0,12,474,19,1,0,0,22,2814
2005,"80 to 84 years","Females","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0.1,0,0,24.4,0.8,0.2,4.1,0.2,0,1.1,4.4,24,1,8.8,0.6,1,2.8,0,5.4,0,0.6,0.2,0,0.1,0.5,0.2,1.8,0.1,0,0,0,0,0.1,2.4,0.1,0,0,0,0.1,14.3
2005,"80 to 84 years","Females","Age-specific mortality rate per 100,000 population",0,0,2.3,0,0,0.3,43,0,0,0,0,2.9,0,0,1256.3,40.1,11.7,210.7,7.8,0,58.6,224.3,1233.4,49.8,452.5,31,50.5,144.6,1.6,276.1,0,30.7,8.1,0.5,7.3,23.7,8.6,90.9,2.9,0,0.3,0,0,3.1,123.5,4.9,0.3,0,0,5.7,733
2005,"80 to 84 years","Females","Rank of leading causes of death",34,34,28,34,34,31,13,34,34,34,34,26,34,34,1,14,18,6,21,34,10,5,2,12,3,15,11,7,29,4,34,16,20,30,22,17,19,9,26,0,31,34,34,25,8,24,31,34,34,23,0
2005,"85 and over","Both sexes","Number of deaths",2,0,14,0,0,0,553,0,0,0,0,18,0,0,10026,407,273,2187,119,3,727,3360,19616,735,6018,659,481,3106,34,3405,7,619,131,10,100,96,149,1551,51,30,2,0,0,13,2076,44,6,0,0,43,11753
2005,"85 and over","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,14.7,0.6,0.4,3.2,0.2,0,1.1,4.9,28.7,1.1,8.8,1,0.7,4.5,0,5,0,0.9,0.2,0,0.1,0.1,0.2,2.3,0.1,0,0,0,0,0,3,0.1,0,0,0,0.1,17.2
2005,"85 and over","Both sexes","Age-specific mortality rate per 100,000 population",0.4,0,2.8,0,0,0,112.1,0,0,0,0,3.7,0,0,2033.3,82.5,55.4,443.5,24.1,0.6,147.4,681.4,3978.1,149.1,1220.5,133.6,97.5,629.9,6.9,690.5,1.4,125.5,26.6,2,20.3,19.5,30.2,314.5,10.3,6.1,0.4,0,0,2.6,421,8.9,1.2,0,0,8.7,2383.5
2005,"85 and over","Both sexes","Rank of leading causes of death",35,37,29,37,37,37,14,37,37,37,37,28,37,37,2,16,17,7,20,34,11,5,1,10,3,12,15,6,26,4,32,13,19,31,21,22,18,9,23,27,35,37,37,30,8,24,33,37,37,25,0
2005,"85 and over","Males","Number of deaths",1,0,11,0,0,0,198,0,0,0,0,8,0,0,4463,168,85,767,32,0,320,767,6910,185,1799,191,248,1057,13,1629,6,279,51,4,28,47,53,659,15,30,0,0,0,10,730,32,0,0,0,18,3400
2005,"85 and over","Males","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,18.4,0.7,0.4,3.2,0.1,0,1.3,3.2,28.5,0.8,7.4,0.8,1,4.4,0.1,6.7,0,1.2,0.2,0,0.1,0.2,0.2,2.7,0.1,0.1,0,0,0,0,3,0.1,0,0,0,0.1,14
2005,"85 and over","Males","Age-specific mortality rate per 100,000 population",0.7,0,7.2,0,0,0,130.2,0,0,0,0,5.3,0,0,2935,110.5,55.9,504.4,21,0,210.4,504.4,4544.2,121.7,1183.1,125.6,163.1,695.1,8.5,1071.3,3.9,183.5,33.5,2.6,18.4,30.9,34.9,433.4,9.9,19.7,0,0,0,6.6,480.1,21,0,0,0,11.8,2235.9
2005,"85 and over","Males","Rank of leading causes of death",33,34,28,34,34,34,13,34,34,34,34,30,34,34,2,16,17,6,21,34,10,6,1,15,3,14,12,5,27,4,31,11,19,32,24,20,18,9,26,23,0,0,34,29,8,21,34,34,34,25,0
2005,"85 and over","Females","Number of deaths",1,0,3,0,0,0,355,0,0,0,0,10,0,0,5563,239,188,1420,87,3,407,2593,12706,550,4219,468,233,2049,21,1776,1,340,80,6,72,49,96,892,36,0,2,0,0,3,1346,12,6,0,0,25,8353
2005,"85 and over","Females","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,12.6,0.5,0.4,3.2,0.2,0,0.9,5.9,28.7,1.2,9.5,1.1,0.5,4.6,0,4,0,0.8,0.2,0,0.2,0.1,0.2,2,0.1,0,0,0,0,0,3,0,0,0,0,0.1,18.9
2005,"85 and over","Females","Age-specific mortality rate per 100,000 population",0.3,0,0.9,0,0,0,104.1,0,0,0,0,2.9,0,0,1631.2,70.1,55.1,416.4,25.5,0.9,119.3,760.3,3725.7,161.3,1237.1,137.2,68.3,600.8,6.2,520.8,0.3,99.7,23.5,1.8,21.1,14.4,28.1,261.6,10.6,0,0.6,0,0,0.9,394.7,3.5,1.8,0,0,7.3,2449.3
2005,"85 and over","Females","Rank of leading causes of death",34,36,30,36,36,36,13,36,36,36,36,27,36,36,2,15,17,7,19,30,12,4,1,10,3,11,16,5,25,6,34,14,20,28,21,22,18,9,23,0,33,36,36,30,8,26,28,36,36,24,0
2005,"85 to 89 years","Both sexes","Number of deaths",1,0,8,0,0,0,292,0,0,0,0,10,0,0,6320,218,121,1249,42,3,432,1514,9491,316,2935,262,313,1221,17,1883,2,298,77,7,47,71,70,808,29,15,0,0,0,9,937,31,4,0,0,22,5213
2005,"85 to 89 years","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,18.4,0.6,0.4,3.6,0.1,0,1.3,4.4,27.7,0.9,8.6,0.8,0.9,3.6,0,5.5,0,0.9,0.2,0,0.1,0.2,0.2,2.4,0.1,0,0,0,0,0,2.7,0.1,0,0,0,0.1,15.2
2005,"85 to 89 years","Both sexes","Age-specific mortality rate per 100,000 population",0.3,0,2.5,0,0,0,90.4,0,0,0,0,3.1,0,0,1956.5,67.5,37.5,386.7,13,0.9,133.7,468.7,2938.1,97.8,908.6,81.1,96.9,378,5.3,582.9,0.6,92.3,23.8,2.2,14.5,22,21.7,250.1,9,4.6,0,0,0,2.8,290.1,9.6,1.2,0,0,6.8,1613.8
2005,"85 to 89 years","Both sexes","Rank of leading causes of death",35,36,30,36,36,36,14,36,36,36,36,28,36,36,2,16,17,6,22,33,10,5,1,11,3,15,12,7,26,4,34,13,18,31,21,19,20,9,24,27,36,36,36,29,8,23,32,36,36,25,0
2005,"85 to 89 years","Males","Number of deaths",1,0,6,0,0,0,118,0,0,0,0,6,0,0,3007,99,45,491,10,0,207,424,3966,101,1030,95,160,473,9,981,2,147,35,3,17,31,27,383,6,15,0,0,0,6,377,23,0,0,0,11,1778
2005,"85 to 89 years","Males","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,21.3,0.7,0.3,3.5,0.1,0,1.5,3,28.1,0.7,7.3,0.7,1.1,3.4,0.1,7,0,1,0.2,0,0.1,0.2,0.2,2.7,0,0.1,0,0,0,0,2.7,0.2,0,0,0,0.1,12.6
2005,"85 to 89 years","Males","Age-specific mortality rate per 100,000 population",0.9,0,5.6,0,0,0,110,0,0,0,0,5.6,0,0,2802.3,92.3,41.9,457.6,9.3,0,192.9,395.1,3696.1,94.1,959.9,88.5,149.1,440.8,8.4,914.2,1.9,137,32.6,2.8,15.8,28.9,25.2,356.9,5.6,14,0,0,0,5.6,351.3,21.4,0,0,0,10.3,1657
2005,"85 to 89 years","Males","Rank of leading causes of death",33,34,27,34,34,34,13,34,34,34,34,27,34,34,2,15,17,5,25,34,10,7,1,14,3,16,11,6,26,4,32,12,18,31,22,19,20,8,27,23,0,0,34,27,9,21,34,34,34,24,0
2005,"85 to 89 years","Females","Number of deaths",0,0,2,0,0,0,174,0,0,0,0,4,0,0,3313,119,76,758,32,3,225,1090,5525,215,1905,167,153,748,8,902,0,151,42,4,30,40,43,425,23,0,0,0,0,3,560,8,4,0,0,11,3435
2005,"85 to 89 years","Females","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,16.4,0.6,0.4,3.8,0.2,0,1.1,5.4,27.4,1.1,9.4,0.8,0.8,3.7,0,4.5,0,0.7,0.2,0,0.1,0.2,0.2,2.1,0.1,0,0,0,0,0,2.8,0,0,0,0,0.1,17
2005,"85 to 89 years","Females","Age-specific mortality rate per 100,000 population",0,0,0.9,0,0,0,80.7,0,0,0,0,1.9,0,0,1535.8,55.2,35.2,351.4,14.8,1.4,104.3,505.3,2561.1,99.7,883.1,77.4,70.9,346.7,3.7,418.1,0,70,19.5,1.9,13.9,18.5,19.9,197,10.7,0,0,0,0,1.4,259.6,3.7,1.9,0,0,5.1,1592.3
2005,"85 to 89 years","Females","Rank of leading causes of death",33,33,32,33,33,33,12,33,33,33,33,27,33,33,2,16,17,6,21,30,10,4,1,11,3,13,14,7,25,5,33,15,19,27,22,20,18,9,23,0,33,33,33,30,8,25,27,33,33,24,0
2005,"90 years and over","Both sexes","Number of deaths",1,0,6,0,0,0,261,0,0,0,0,8,0,0,3706,189,152,938,77,0,295,1846,10125,419,3083,397,168,1885,17,1522,5,321,54,3,53,25,79,743,22,15,2,0,0,4,1139,13,2,0,0,21,6540
2005,"90 years and over","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,10.9,0.6,0.4,2.7,0.2,0,0.9,5.4,29.7,1.2,9,1.2,0.5,5.5,0,4.5,0,0.9,0.2,0,0.2,0.1,0.2,2.2,0.1,0,0,0,0,0,3.3,0,0,0,0,0.1,19.2
2005,"90 years and over","Both sexes","Age-specific mortality rate per 100,000 population",0.6,0,3.5,0,0,0,153.5,0,0,0,0,4.7,0,0,2179.1,111.1,89.4,551.5,45.3,0,173.5,1085.4,5953.5,246.4,1812.8,233.4,98.8,1108.4,10,894.9,2.9,188.7,31.8,1.8,31.2,14.7,46.5,436.9,12.9,8.8,1.2,0,0,2.4,669.7,7.6,1.2,0,0,12.3,3845.5
2005,"90 years and over","Both sexes","Rank of leading causes of death",35,36,29,36,36,36,14,36,36,36,36,28,36,36,2,15,17,8,19,36,13,5,1,10,3,11,16,4,25,6,30,12,20,32,21,22,18,9,23,26,33,36,36,31,7,27,33,36,36,24,0
2005,"90 years and over","Males","Number of deaths",0,0,5,0,0,0,80,0,0,0,0,2,0,0,1456,69,40,276,22,0,113,343,2944,84,769,96,88,584,4,648,4,132,16,1,11,16,26,276,9,15,0,0,0,4,353,9,0,0,0,7,1622
2005,"90 years and over","Males","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,14.4,0.7,0.4,2.7,0.2,0,1.1,3.4,29.1,0.8,7.6,0.9,0.9,5.8,0,6.4,0,1.3,0.2,0,0.1,0.2,0.3,2.7,0.1,0.1,0,0,0,0,3.5,0.1,0,0,0,0.1,16
2005,"90 years and over","Males","Age-specific mortality rate per 100,000 population",0,0,11.2,0,0,0,178.7,0,0,0,0,4.5,0,0,3253,154.2,89.4,616.6,49.2,0,252.5,766.3,6577.6,187.7,1718.1,214.5,196.6,1304.8,8.9,1447.8,8.9,294.9,35.7,2.2,24.6,35.7,58.1,616.6,20.1,33.5,0,0,0,8.9,788.7,20.1,0,0,0,15.6,3623.9
2005,"90 years and over","Males","Rank of leading causes of death",33,33,27,33,33,33,15,33,33,33,33,31,33,33,2,16,17,8,19,33,11,7,1,14,3,12,13,5,28,4,28,10,20,32,23,20,18,8,24,22,0,0,33,28,6,24,33,33,33,26,0
2005,"90 years and over","Females","Number of deaths",1,0,1,0,0,0,181,0,0,0,0,6,0,0,2250,120,112,662,55,0,182,1503,7181,335,2314,301,80,1301,13,874,1,189,38,2,42,9,53,467,13,0,2,0,0,0,786,4,2,0,0,14,4918
2005,"90 years and over","Females","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,9.4,0.5,0.5,2.8,0.2,0,0.8,6.3,29.9,1.4,9.6,1.3,0.3,5.4,0.1,3.6,0,0.8,0.2,0,0.2,0,0.2,1.9,0.1,0,0,0,0,0,3.3,0,0,0,0,0.1,20.5
2005,"90 years and over","Females","Age-specific mortality rate per 100,000 population",0.8,0,0.8,0,0,0,144.4,0,0,0,0,4.8,0,0,1795.5,95.8,89.4,528.3,43.9,0,145.2,1199.4,5730.6,267.3,1846.6,240.2,63.8,1038.2,10.4,697.5,0.8,150.8,30.3,1.6,33.5,7.2,42.3,372.7,10.4,0,1.6,0,0,0,627.2,3.2,1.6,0,0,11.2,3924.7
2005,"90 years and over","Females","Rank of leading causes of death",31,34,31,34,34,34,14,34,34,34,34,26,34,34,3,15,16,8,18,34,13,4,1,10,2,11,17,5,23,6,31,12,21,28,20,25,19,9,23,0,28,34,34,34,7,27,28,34,34,22,0
2006,"All ages","Both sexes","Number of deaths",1,0,90,0,1,12,1852,3,0,0,1,457,428,0,67807,1415,395,7261,201,66,1686,5675,49893,1284,13805,960,1791,5152,50,9786,80,1465,380,63,228,2413,342,3686,129,74,8,28,1013,865,9640,3512,487,9,0,212,33373
2006,"All ages","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0.2,0.2,0,29.7,0.6,0.2,3.2,0.1,0,0.7,2.5,21.9,0.6,6.1,0.4,0.8,2.3,0,4.3,0,0.6,0.2,0,0.1,1.1,0.1,1.6,0.1,0,0,0,0.4,0.4,4.2,1.5,0.2,0,0,0.1,14.6
2006,"All ages","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0.3,0,0,0,5.7,0,0,0,0,1.4,1.3,0,207.7,4.3,1.2,22.2,0.6,0.2,5.2,17.4,152.8,3.9,42.3,2.9,5.5,15.8,0.2,30,0.2,4.5,1.2,0.2,0.7,7.4,1,11.3,0.4,0.2,0,0.1,3.1,2.6,29.5,10.8,1.5,0,0,0.6,102.2
2006,"All ages","Both sexes","Rank of leading causes of death",42,45,31,45,42,38,12,41,45,45,42,22,23,45,1,16,24,6,29,34,14,7,2,17,3,19,13,8,36,4,32,15,25,35,27,11,26,9,30,33,40,37,18,20,5,10,21,39,45,28,0
2006,"All ages","Males","Number of deaths",0,0,48,0,0,4,867,0,0,0,1,295,346,0,35624,689,154,3775,75,36,955,1679,26036,451,5722,433,1116,2320,24,5127,78,787,173,30,110,1592,154,1857,42,74,0,0,556,472,5749,2695,362,8,0,98,14535
2006,"All ages","Males","Percentage of deaths",0,0,0,0,0,0,0.8,0,0,0,0,0.3,0.3,0,30.9,0.6,0.1,3.3,0.1,0,0.8,1.5,22.6,0.4,5,0.4,1,2,0,4.5,0.1,0.7,0.2,0,0.1,1.4,0.1,1.6,0,0.1,0,0,0.5,0.4,5,2.3,0.3,0,0,0.1,12.6
2006,"All ages","Males","Age-specific mortality rate per 100,000 population",0,0,0.3,0,0,0,5.4,0,0,0,0,1.8,2.1,0,220.3,4.3,1,23.3,0.5,0.2,5.9,10.4,161,2.8,35.4,2.7,6.9,14.3,0.1,31.7,0.5,4.9,1.1,0.2,0.7,9.8,1,11.5,0.3,0.5,0,0,3.4,2.9,35.6,16.7,2.2,0,0,0.6,89.9
2006,"All ages","Males","Rank of leading causes of death",40,40,32,40,40,38,14,40,40,40,39,23,22,40,1,16,25,6,30,34,13,10,2,19,4,20,12,8,36,5,29,15,24,35,27,11,25,9,33,31,0,0,17,18,3,7,21,37,40,28,0
2006,"All ages","Females","Number of deaths",1,0,42,0,1,8,985,3,0,0,0,162,82,0,32183,726,241,3486,126,30,731,3996,23857,833,8083,527,675,2832,26,4659,2,678,207,33,118,821,188,1829,87,0,8,28,457,393,3891,817,125,1,0,114,18838
2006,"All ages","Females","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0.1,0.1,0,28.5,0.6,0.2,3.1,0.1,0,0.6,3.5,21.1,0.7,7.2,0.5,0.6,2.5,0,4.1,0,0.6,0.2,0,0.1,0.7,0.2,1.6,0.1,0,0,0,0.4,0.3,3.4,0.7,0.1,0,0,0.1,16.7
2006,"All ages","Females","Age-specific mortality rate per 100,000 population",0,0,0.3,0,0,0,6,0,0,0,0,1,0.5,0,195.3,4.4,1.5,21.2,0.8,0.2,4.4,24.2,144.8,5.1,49.1,3.2,4.1,17.2,0.2,28.3,0,4.1,1.3,0.2,0.7,5,1.1,11.1,0.5,0,0,0.2,2.8,2.4,23.6,5,0.8,0,0,0.7,114.3
2006,"All ages","Females","Rank of leading causes of death",40,43,31,43,40,36,10,38,43,43,43,24,30,43,1,15,21,7,25,33,14,5,2,11,3,18,17,8,35,4,39,16,22,32,27,12,23,9,29,0,36,34,19,20,6,13,26,40,43,28,0
2006,"1 to 14 years","Both sexes","Number of deaths",0,0,1,0,0,0,9,0,0,0,0,1,0,0,121,13,1,2,0,5,0,0,27,0,8,0,1,15,3,0,0,4,0,2,2,0,0,4,0,0,0,0,5,57,206,31,28,0,0,0,211
2006,"1 to 14 years","Both sexes","Percentage of deaths",0,0,0.1,0,0,0,1.2,0,0,0,0,0.1,0,0,16,1.7,0.1,0.3,0,0.7,0,0,3.6,0,1.1,0,0.1,2,0.4,0,0,0.5,0,0.3,0.3,0,0,0.5,0,0,0,0,0.7,7.5,27.2,4.1,3.7,0,0,0,27.9
2006,"1 to 14 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,2.3,0.2,0,0,0,0.1,0,0,0.5,0,0.2,0,0,0.3,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,1.1,3.9,0.6,0.5,0,0,0,4
2006,"1 to 14 years","Both sexes","Rank of leading causes of death",23,23,19,23,23,23,9,23,23,23,23,19,23,23,2,8,19,16,23,11,23,23,6,23,10,23,19,7,15,23,23,13,23,16,16,23,23,13,23,23,23,23,11,3,1,4,5,23,23,23,0
2006,"1 to 14 years","Males","Number of deaths",0,0,0,0,0,0,4,0,0,0,0,0,0,0,73,6,1,2,0,3,0,0,14,0,4,0,1,7,2,0,0,1,0,0,2,0,0,3,0,0,0,0,1,28,136,13,13,0,0,0,120
2006,"1 to 14 years","Males","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,16.8,1.4,0.2,0.5,0,0.7,0,0,3.2,0,0.9,0,0.2,1.6,0.5,0,0,0.2,0,0,0.5,0,0,0.7,0,0,0,0,0.2,6.5,31.3,3,3,0,0,0,27.6
2006,"1 to 14 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.7,0.2,0,0.1,0,0.1,0,0,0.5,0,0.1,0,0,0.3,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,1,5,0.5,0.5,0,0,0,4.4
2006,"1 to 14 years","Males","Rank of leading causes of death",20,20,20,20,20,20,9,20,20,20,20,20,20,20,2,8,16,13,20,11,20,20,4,20,9,20,16,7,13,20,20,16,20,20,13,20,20,11,20,20,0,0,16,3,1,5,5,20,20,20,0
2006,"1 to 14 years","Females","Number of deaths",0,0,1,0,0,0,5,0,0,0,0,1,0,0,48,7,0,0,0,2,0,0,13,0,4,0,0,8,1,0,0,3,0,2,0,0,0,1,0,0,0,0,4,29,70,18,15,0,0,0,91
